Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1233.829640364833,2020-01-30,80.96749877929688,99.90009990008548,2020-02-24,74.54499816894531,91.97582828178693,-8116.1475464948535,-0.08124263694041348,Long,Closed,0
1,0,123.77267385726145,2020-02-24,74.03514187781877,9.163527469619341,2020-03-02,74.70249938964844,9.246128093277228,-101.01027922078165,-0.011023078127464562,Short,Closed,1
2,0,100.96246357267364,2020-02-24,73.21669669720863,7.392138073203422,2020-03-10,71.33499908447266,7.202157246522779,175.38653136091688,0.023726089748877244,Short,Closed,1
3,0,172.40459908792855,2020-02-24,71.76538303211761,12.372682090043867,2020-03-13,69.49250030517578,11.980826654731583,367.5019265675081,0.029702688866727778,Short,Closed,1
4,0,124.67581894254295,2020-02-24,69.6260588449923,8.6806859062411,2020-03-24,61.720001220703125,7.6949916973259125,969.318531311621,0.11166381801865632,Short,Closed,1
5,0,96.23663163605465,2020-02-24,69.6260588449923,6.700577377335788,2020-04-06,65.61750030517578,6.314807205747906,372.75478700479925,0.055630248859690055,Short,Closed,1
6,0,1523.9836862866932,2020-02-24,69.6260588449923,106.10897782020558,2020-04-08,66.51750183105469,101.37158764306591,4529.9096116697265,0.042691105924565105,Short,Closed,1
7,0,81.30850558319162,2020-04-08,66.51750183105469,5.408438669009913,2020-04-14,71.76249694824219,5.834901383779921,415.219374716863,0.07677250314328649,Long,Closed,2
8,0,66.70236171234114,2020-04-08,66.55121601879655,4.4391232832816,2020-04-24,70.74250030517578,4.718691843791239,270.4107453822466,0.06091534929895601,Long,Closed,2
9,0,69.31069139179112,2020-04-08,66.55121601879655,4.612710795226902,2020-05-05,74.38999938964844,5.156022290331452,533.5427620186606,0.11566794141326109,Long,Closed,2
10,0,74.46579420852913,2020-04-08,66.55121601879655,4.955789156382715,2020-05-11,78.75250244140625,5.864367640208446,897.7583270287828,0.18115345481808226,Long,Closed,2
11,0,63.164418580477786,2020-04-08,66.55121601879655,4.203668865650761,2020-06-05,82.875,5.234751189857096,1021.6439041505245,0.24303624686010855,Long,Closed,2
12,0,72.97817360421936,2020-04-08,66.55121601879655,4.8567861961912895,2020-06-10,88.20999908447266,6.4374046268146765,1569.3242398000311,0.32311989377473277,Long,Closed,2
13,0,63.7105045752146,2020-04-08,66.55121601879655,4.240011552651327,2020-07-06,93.4625015258789,5.95454313107551,1704.3370237401496,0.40196518395670067,Long,Closed,2
14,0,53.248517878762755,2020-04-08,66.55121601879655,3.5437536160300347,2020-07-20,98.35749816894533,5.2373909997594605,1684.8562391133803,0.4754439562310076,Long,Closed,2
15,0,1077.063909582904,2020-04-08,68.02486483440875,73.26712686739202,2020-07-28,93.25250244140624,100.4389048579303,26998.071958808097,0.368488203552335,Long,Closed,2
16,0,1072.3572813805556,2020-07-28,93.25250244140624,100.00000000000001,2020-07-31,106.26000213623048,113.94868701030015,-14162.635697310443,-0.1416263569731044,Short,Closed,3
17,0,63.14399497274087,2020-07-31,106.26000213623048,6.709681040693571,2020-08-06,113.90249633789062,7.192258656142402,468.6756757519934,0.06985066397486266,Long,Closed,4
18,0,73.89147725604903,2020-07-31,106.26000213623048,7.851708531076996,2020-08-21,124.37000274658205,9.189883229283824,1321.1331064464662,0.16826058955416295,Long,Closed,4
19,0,58.784814730120274,2020-07-31,106.2600021362305,6.246474538800494,2020-09-01,134.17999267578125,7.8877460099346965,1627.1372505854672,0.2604888950524603,Long,Closed,4
20,0,886.3676677051759,2020-07-31,108.04992415461395,95.77195926864633,2020-09-09,117.31999969482422,103.98865450467329,8016.93462225366,0.08370857903998453,Long,Closed,4
21,0,906.2896802513317,2020-09-09,116.90472142181419,105.94954259724699,2020-10-01,116.79000091552734,105.84557258628602,-107.82510422256364,-0.00101770240417598,Short,Closed,5
22,0,52.379173830791615,2020-10-01,116.79000091552734,6.117363759652719,2020-10-12,124.4000015258789,6.515969304474754,385.9722117579075,0.06309453335170297,Long,Closed,6
23,0,862.2175987721398,2020-10-01,116.73517633452612,100.65112343139742,2020-10-23,115.04000091552734,99.18951335213075,-1661.4507160501976,-0.016507026046089012,Long,Closed,6
24,0,48.66757815547055,2020-10-23,114.70800853489429,5.582560970430352,2020-11-04,114.9499969482422,5.594337960449678,-22.953888950207997,-0.004111713077884847,Short,Closed,7
25,0,869.9434767712639,2020-10-23,114.70800853489429,99.78948375835378,2020-11-10,115.97000122070312,100.88734606310621,-1298.5391345739051,-0.013012785372438601,Short,Closed,7
26,0,862.2919629852333,2020-11-10,115.97000122070312,100.0,2020-11-25,116.02999877929688,100.05173541257415,-148.31632283844834,-0.0014831632283844834,Long,Closed,8
27,0,861.846083358254,2020-11-25,116.02999877929688,100.0,2020-12-01,122.72000122070312,105.76575240178315,-5971.518154184914,-0.05971518154184914,Short,Closed,9
28,0,56.59803349243202,2020-12-01,122.72000122070312,6.945710739280655,2020-12-22,131.8800048828125,7.46414893333952,504.0283343862463,0.07256684784406195,Long,Closed,10
29,0,758.2650614007725,2020-12-01,122.72000122070312,93.05428926071934,2021-01-12,128.8000030517578,97.66454222246082,4419.534130258318,0.04749414739900571,Long,Closed,10
30,0,45.77717443557685,2021-01-12,128.8000030517578,5.896100207003148,2021-01-21,136.8699951171875,6.265521641476044,-381.58305632137535,-0.06471787163117522,Short,Closed,11
31,0,730.6203226965883,2021-01-12,128.8000030517578,94.10389979299684,2021-01-22,139.07000732421875,101.60737362863762,-7699.185109062382,-0.08181579218287986,Short,Closed,11
32,0,757.8053570187592,2021-01-22,138.7065061664073,105.11253342625902,2021-02-12,135.3699951171875,102.58410747940796,-2736.1225877567244,-0.026030412345414856,Long,Closed,12
33,0,52.88518333569016,2021-02-12,133.3166312509805,7.050474485404704,2021-03-15,123.98999786376952,6.557233768817282,479.63300833319903,0.06802847231432364,Short,Closed,13
34,0,806.5166684644365,2021-02-12,133.3166312509805,107.52208528744258,2021-03-18,120.52999877929688,97.20945306550112,10107.900683588514,0.09400766974121369,Short,Closed,13
35,0,829.6689704868458,2021-03-18,120.52999877929688,100.0,2021-03-23,122.54000091552734,101.66763640304272,1465.9687666396494,0.014659687666396491,Long,Closed,14
36,0,816.0600559235737,2021-03-23,122.54000091552734,100.00000000000001,2021-04-05,125.9000015258789,102.74196228598674,-2944.7042482727243,-0.02944704248272724,Short,Closed,15
37,0,42.401466661515315,2021-04-05,125.90000152587889,5.338344717384282,2021-04-09,133.0,5.639395065981536,290.0726088138891,0.0543375567091555,Long,Closed,16
38,0,751.8796992481203,2021-04-05,125.90000152587889,94.66165528261573,2021-05-04,127.8499984741211,96.12781840159481,1275.3736452948826,0.013472970037204712,Long,Closed,16
39,0,782.1666108212088,2021-05-04,127.8499984741211,100.00000000000001,2021-06-09,127.12999725341795,99.4368390854155,363.7240754990986,0.0036372407549909854,Short,Closed,17
40,0,40.21633385648761,2021-06-09,127.12999725341795,5.112702412717809,2021-06-22,133.97999572753906,5.388184238269494,264.9809389006975,0.051827960540312176,Long,Closed,18
41,0,42.25392229728675,2021-06-09,127.12999725341795,5.3717410256002,2021-07-06,142.02000427246094,6.000902225188897,617.7885563379069,0.1150071370517866,Long,Closed,18
42,0,33.660156940126285,2021-06-09,127.12999725341795,4.279215659347871,2021-07-14,149.14999389648438,5.020412202174541,731.8969149651471,0.17103529553747332,Long,Closed,18
43,0,670.4660012886337,2021-06-09,127.12999725341795,85.23634090233412,2021-08-02,145.52000427246094,97.56621537206178,12147.07191345326,0.14251048068067199,Long,Closed,18
44,0,687.1907439802391,2021-08-02,145.52000427246094,100.0,2021-08-04,146.9499969482422,100.98267773075644,-1183.6604084871608,-0.011836604084871609,Short,Closed,19
45,0,680.5035867759929,2021-08-04,146.9499969482422,100.00000000000001,2021-08-10,145.60000610351562,99.08132638804884,-1117.7549383392259,-0.011177549383392257,Long,Closed,20
46,0,686.8131580221508,2021-08-10,145.60000610351562,100.0,2021-08-12,148.88999938964844,102.25961067872053,-2461.8702893992704,-0.024618702893992706,Short,Closed,21
47,0,33.43397067072863,2021-08-12,148.88999938964844,4.977983872758309,2021-09-07,156.69000244140625,5.238768946022374,250.56832044528386,0.05033530177076358,Long,Closed,22
48,0,675.1282966279023,2021-08-12,148.84788475468864,100.49141889109924,2021-09-15,149.02999877929688,100.61436922232505,-78.15545688760767,-0.0007777326437424806,Long,Closed,22
49,0,706.7137809187279,2021-09-15,148.64953255047953,105.05267318055091,2021-10-18,146.5500030517578,103.56890675035888,1275.1448502611206,0.012138147575450718,Short,Closed,23
50,0,682.3609547430885,2021-10-18,146.5500030517578,100.0,2021-11-12,149.99000549316406,102.34732335023654,2144.976026886282,0.02144976026886282,Long,Closed,24
51,0,666.7110896569545,2021-11-12,149.99000549316406,100.0,2021-11-17,153.49000549316406,102.33348881379933,-2535.8223026131395,-0.02535822302613139,Short,Closed,25
52,0,31.96793122250301,2021-11-17,153.49000549316406,4.906757938947078,2021-11-23,161.41000366210938,5.159943895694272,243.11925491255155,0.04954783951798559,Long,Closed,26
53,0,35.35986713923535,2021-11-17,153.49000549316406,5.427386201438785,2021-12-07,171.17999267578125,6.052901797910905,614.0353084727701,0.11313646858408401,Long,Closed,26
54,0,29.64152462791003,2021-11-17,153.49000549316406,4.549677777963669,2021-12-27,180.3300018310547,5.3452561904262685,785.6834784942098,0.1726899171408714,Long,Closed,26
55,0,554.53889527316,2021-11-17,153.4900054931641,85.11617808165047,2022-01-10,172.19000244140625,95.48605373094017,10189.273417477089,0.11971018491575944,Long,Closed,26
56,0,43.57777177572791,2022-01-10,171.63452085265607,7.47944997855346,2022-01-31,174.77999877929688,7.616522897766202,-152.16889208906247,-0.020344930780390385,Short,Closed,27
57,0,572.1478469986421,2022-01-10,171.63452085265607,98.20032157649072,2022-02-02,175.83999633789062,100.60647532097323,-2604.9605413799864,-0.02652700622116514,Short,Closed,27
58,0,568.698828950394,2022-02-02,175.83999633789062,99.99999999999997,2022-02-22,164.32000732421875,93.44859573840337,-6744.852857334991,-0.06744852857334993,Long,Closed,28
59,0,36.45661554764047,2022-02-22,163.76031697413868,5.9701469178859154,2022-03-18,163.97999572753906,5.978155661742618,-19.95704643633103,-0.0033428065859722605,Short,Closed,29
60,0,609.8304830191299,2022-02-22,163.7603169741387,99.86603319970482,2022-03-22,168.82000732421875,102.95158660982139,-3288.3710299260656,-0.032927822649671284,Short,Closed,29
61,0,33.56278776723207,2022-03-22,168.82000732421875,5.666070076685316,2022-03-29,178.9600067138672,6.00639672415995,328.654180673788,0.05800390327435776,Long,Closed,30
62,0,603.3182503770739,2022-03-22,168.5933934672502,101.71547117179497,2022-04-12,167.66000366210938,101.15234006763764,-765.9989153967971,-0.007530800443356776,Long,Closed,30
63,0,35.41803730611309,2022-04-12,166.9565585310063,5.913273618551435,2022-05-04,166.02000427246094,5.880102704883076,21.37753734492397,0.003615178110117757,Short,Closed,31
64,0,59.79643117817159,2022-04-12,163.35375413391546,9.767971516764643,2022-05-27,149.63999938964844,8.947937925004751,801.3176823181183,0.0820352189748739,Short,Closed,31
65,0,668.2705186305798,2022-04-12,163.35375413391546,109.16449799532393,2022-06-02,151.2100067138672,101.04918960880948,7905.094698910281,0.0724145197759156,Short,Closed,31
66,0,701.0656227418431,2022-06-02,150.7242913360738,105.66761916784756,2022-06-10,137.1300048828125,96.13713226976093,-9732.291649524239,-0.09210287622800506,Long,Closed,32
67,0,45.6532599459498,2022-06-10,136.76549673882738,6.243790774254634,2022-06-23,138.27000427246094,6.3124764477782485,-81.24194074564531,-0.013011637270203647,Short,Closed,33
68,0,723.2226579161021,2022-06-10,136.76549673882738,98.91190606267071,2022-07-01,138.92999267578125,100.4773185672431,-1764.8017292022917,-0.017842156717555423,Short,Closed,33
69,0,36.49353496052038,2022-07-01,138.92999267578125,5.070046544778464,2022-07-07,146.35000610351562,5.340829064211018,260.37164382356565,0.05135488235146817,Long,Closed,34
70,0,39.585714662655505,2022-07-01,138.92999267578125,5.499643048148297,2022-07-21,155.35000610351562,6.14964101445556,638.3486822446606,0.11607092981417942,Long,Closed,34
71,0,41.7695079433787,2022-07-01,138.92999267578125,5.80303743264459,2022-08-03,166.1300048828125,6.939168558586179,1123.388919950359,0.19358636455295147,Long,Closed,34
72,0,29.03648611062306,2022-07-01,138.92999267578125,4.034038802679286,2022-08-17,174.5500030517578,5.068318739221579,1025.1775790003921,0.25413180912377453,Long,Closed,34
73,0,572.9017373339597,2022-07-01,138.92999267578125,79.59323417174937,2022-08-26,163.6199951171875,93.73817946521072,13971.613879824392,0.17553770776138963,Long,Closed,34
74,0,35.24075031045186,2022-08-26,163.11499550901806,5.7482948286237825,2022-09-12,163.42999267578125,5.759395565126183,-22.608426896151528,-0.003933066686762879,Short,Closed,35
75,0,701.8529126799491,2022-08-26,161.08718262500344,113.05950832076556,2022-10-21,147.27000427246094,103.36188144901527,9481.205481980516,0.08386031058158344,Short,Closed,35
76,0,36.92912246946787,2022-10-21,147.27000427246094,5.438552023856767,2022-10-28,155.74000549316406,5.751341736252654,301.5998186357789,0.05545590394516415,Long,Closed,36
77,0,689.5125204556994,2022-10-21,147.11596245260276,101.43829806996017,2022-11-07,138.9199981689453,95.78707807917063,-5848.445366938672,-0.057655200039980016,Long,Closed,36
78,0,38.96450044294261,2022-11-07,138.9199981689453,5.412948330187456,2022-11-10,146.8699951171875,5.7227159897986315,-320.9033239311612,-0.05928438705788421,Short,Closed,37
79,0,680.8742651636235,2022-11-07,138.9199981689453,94.58705166981257,2022-11-16,148.7899932861328,101.30727734239616,-6916.120001595799,-0.07311909906800783,Short,Closed,37
80,0,34.102430916428034,2022-11-16,148.39974980064315,5.060792215591639,2022-12-01,148.30999755859375,5.057731445957554,-13.179293295633148,-0.0026041956939131927,Long,Closed,38
81,0,674.2633783706482,2022-11-16,148.39974980064315,100.0605166499406,2022-12-02,147.80999755859375,99.66286831081469,-597.3717240866506,-0.005970104333725778,Long,Closed,38
82,0,44.27916178744863,2022-12-02,145.3426697405695,6.435651588062392,2023-01-11,133.49000549316406,5.910825550239218,512.4795606848719,0.0796313401482889,Short,Closed,39
83,0,749.1197534269405,2022-12-02,145.3426697405695,108.87906491846869,2023-01-12,133.41000366210938,99.94006904804661,8730.176736455562,0.08018232653809924,Short,Closed,39
84,0,40.901982937862044,2023-01-12,133.41000366210938,5.456733693527711,2023-01-23,141.11000061035156,5.771678837326303,303.7167312677377,0.05565907158488957,Long,Closed,40
85,0,45.62498964663121,2023-01-12,133.4100036621094,6.086830035840772,2023-02-02,150.82000732421875,6.8811612726723235,781.363245523037,0.1283694864029676,Long,Closed,40
86,0,663.042004666061,2023-01-12,133.4100036621094,88.45643627063154,2023-02-24,146.7100067138672,97.27489695613376,8632.729352275433,0.0975930041525038,Long,Closed,40
87,0,681.6167638451064,2023-02-24,146.7100067138672,99.99999999999999,2023-03-08,152.8699951171875,104.19875136079457,-4402.950112155382,-0.04402950112155383,Short,Closed,41
88,0,32.14402961889266,2023-03-08,152.8699951171875,4.913857650886851,2023-03-29,160.77000427246094,5.167795779163484,243.85647484658227,0.049626279833843205,Long,Closed,42
89,0,32.66190255048275,2023-03-08,152.86999511718747,4.993024883410352,2023-04-28,169.67999267578125,5.542071385542994,538.5114058636893,0.10785273825750967,Long,Closed,42
90,0,34.06674630081852,2023-03-08,152.86999511718747,5.207783340664593,2023-06-01,180.08999633789062,6.135080216558256,915.9540123364412,0.17588174323311068,Long,Closed,42
91,0,26.876342684013935,2023-03-08,152.86999511718747,4.108586374873068,2023-06-28,189.25,5.086347852949637,968.5665438487471,0.23574204251180444,Long,Closed,42
92,0,528.4015852047556,2023-03-08,152.86999511718744,80.77674775016513,2023-08-04,181.9900054931641,96.16380739401009,15210.11908870081,0.18829823572179807,Long,Closed,42
93,0,549.480724114579,2023-08-04,181.9900054931641,100.0,2023-08-29,184.1199951171875,101.17038824096494,-1371.558629205888,-0.01371558629205888,Short,Closed,43
94,0,543.1240639364163,2023-08-29,184.1199951171875,100.0,2023-09-12,176.3000030517578,95.7527741294733,-4442.978644656175,-0.044429786446561745,Long,Closed,44
95,0,567.2149646568197,2023-09-12,176.3000030517578,100.00000000000003,2023-10-09,178.99000549316406,101.525809639729,-1727.3354493687355,-0.017273354493687353,Short,Closed,45
96,0,558.6904124868535,2023-10-09,178.99000549316406,100.0,2023-10-23,173.0,96.65344136022566,-3543.212081134572,-0.035432120811345724,Long,Closed,46
97,0,578.0346820809249,2023-10-23,173.0,100.0,2023-11-06,179.22999572753906,103.60115359973356,-3804.754753333293,-0.038047547533332934,Short,Closed,47
98,0,30.821999146319627,2023-11-06,179.22999572753906,5.52422677530908,2023-11-16,189.7100067138672,5.8472416649831045,311.6434212337334,0.056413944233181315,Long,Closed,48
99,0,527.120322919109,2023-11-06,179.22999572753903,94.4757732246909,2023-12-27,193.1499938964844,101.81328715453878,7141.2248694686605,0.07558789545426368,Long,Closed,48
100,0,517.7323487444344,2023-12-27,193.1499938964844,100.00000000000003,2023-12-29,192.52999877929688,0.0,220.9915282315778,0.0022099152823157773,Short,Open,49
