Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,0,1.0,2020-01-30,80.96749877929688,0.08096749877929688,2020-02-24,74.54499816894531,0.07454499816894532,-6.578013107299805,-0.0812426369404137,Long,Closed,0
1,0,1.0,2020-04-08,66.51750183105469,0.06651750183105469,2020-07-28,93.25250244140624,0.09325250244140623,26.57523060607909,0.3995223794419779,Long,Closed,1
2,0,1.0,2020-07-31,106.26000213623048,0.10626000213623049,2020-09-09,117.31999969482422,0.11731999969482422,10.836417556762681,0.10198021211094903,Long,Closed,2
3,0,1.0,2020-10-01,116.79000091552734,0.11679000091552734,2020-10-23,115.04000091552734,0.11504000091552735,-1.9818300018310548,-0.01696917532575829,Long,Closed,3
4,0,1.0,2020-11-10,115.97000122070312,0.11597000122070313,2020-11-25,116.02999877929688,0.11602999877929687,-0.17200244140624998,-0.0014831632283844787,Long,Closed,4
5,0,1.0,2020-12-01,122.72000122070312,0.12272000122070313,2021-01-12,128.8000030517578,0.12880000305175782,5.828481826782227,0.04749414739900564,Long,Closed,5
6,0,1.0,2021-01-22,139.07000732421875,0.13907000732421876,2021-02-12,135.3699951171875,0.1353699951171875,-3.9744522094726564,-0.028578787662007363,Long,Closed,6
7,0,1.0,2021-03-18,120.52999877929688,0.12052999877929688,2021-03-23,122.54000091552734,0.12254000091552734,1.7669321365356445,0.014659687666396507,Long,Closed,7
8,0,1.0,2021-04-05,125.9000015258789,0.1259000015258789,2021-05-04,127.8499984741211,0.1278499984741211,1.6962469482421876,0.01347297003720466,Long,Closed,8
9,0,1.0,2021-06-09,127.12999725341795,0.12712999725341795,2021-08-02,145.52000427246094,0.14552000427246095,18.1173570175171,0.14251048068067199,Long,Closed,9
10,0,1.0,2021-08-04,146.9499969482422,0.14694999694824218,2021-08-10,145.60000610351562,0.14560000610351562,-1.6425408477783203,-0.01117754938339227,Long,Closed,10
11,0,1.0,2021-08-12,148.88999938964844,0.14888999938964845,2021-09-15,149.02999877929688,0.14902999877929687,-0.15792060852050782,-0.0010606528925238697,Long,Closed,11
12,0,1.0,2021-10-18,146.5500030517578,0.1465500030517578,2021-11-12,149.99000549316406,0.14999000549316407,3.143462432861328,0.021449760268862878,Long,Closed,12
13,0,1.0,2021-11-17,153.49000549316406,0.15349000549316408,2022-01-10,172.19000244140625,0.17219000244140625,18.374316940307615,0.11971018491575952,Long,Closed,13
14,0,1.0,2022-02-02,175.83999633789062,0.17583999633789063,2022-02-22,164.32000732421875,0.16432000732421875,-11.860149017333985,-0.06744852857335006,Long,Closed,14
15,0,1.0,2022-03-22,168.82000732421875,0.16882000732421876,2022-04-12,167.66000366210938,0.16766000366210937,-1.4964836730957032,-0.008864373937750795,Long,Closed,15
16,0,1.0,2022-06-02,151.2100067138672,0.1512100067138672,2022-06-10,137.1300048828125,0.1371300048828125,-14.368341842651368,-0.09502242711912845,Long,Closed,16
17,0,1.0,2022-07-01,138.92999267578125,0.13892999267578127,2022-08-26,163.6199951171875,0.1636199951171875,24.38745245361328,0.17553770776138958,Long,Closed,17
18,0,1.0,2022-10-21,147.27000427246094,0.14727000427246095,2022-11-07,138.9199981689453,0.13891999816894532,-8.636196105957032,-0.05864192201678353,Long,Closed,18
19,0,1.0,2022-11-16,148.7899932861328,0.14878999328613282,2022-12-02,147.80999755859375,0.14780999755859375,-1.276595718383789,-0.008579849290864692,Long,Closed,19
20,0,1.0,2023-01-12,133.41000366210938,0.13341000366210937,2023-02-24,146.7100067138672,0.1467100067138672,13.019883041381835,0.09759300415250416,Long,Closed,20
21,0,1.0,2023-03-08,152.8699951171875,0.1528699951171875,2023-08-04,181.9900054931641,0.1819900054931641,28.78515037536624,0.1882982357217977,Long,Closed,21
22,0,1.0,2023-08-29,184.1199951171875,0.1841199951171875,2023-09-12,176.3000030517578,0.1763000030517578,-8.180412063598633,-0.04442978644656175,Long,Closed,22
23,0,1.0,2023-10-09,178.99000549316406,0.17899000549316407,2023-10-23,173.0,0.17300000000000001,-6.3419954986572264,-0.03543212081134574,Long,Closed,23
24,0,1.0,2023-11-06,179.22999572753906,0.17922999572753906,2023-12-27,193.1499938964844,0.1931499938964844,13.547618179321317,0.0755878954542635,Long,Closed,24
