date,symbol,open,high,low,close,volume
2024-01-02,AAPL,187.15,188.44,183.89,185.64,82488700
2024-01-03,AAPL,184.22,185.88,183.43,184.25,58414500
2024-01-04,AAPL,182.15,183.09,180.88,181.91,71983600
2024-01-05,AAPL,181.99,182.76,180.17,181.18,62303300
2024-01-08,AAPL,182.09,185.60,181.50,185.56,59144500
2024-01-09,AAPL,183.92,185.15,182.73,185.14,42841800
2024-01-10,AAPL,184.35,186.40,183.92,186.19,46792900
2024-01-11,AAPL,186.54,187.05,183.62,185.59,49128400
2024-01-12,AAPL,186.06,186.74,185.19,185.92,40444700
2024-01-16,AAPL,182.16,184.26,180.93,183.63,65603000
2024-01-17,AAPL,181.27,182.93,180.30,182.68,47317400
2024-01-18,AAPL,186.09,189.14,185.83,188.63,78005800
2024-01-19,AAPL,189.33,191.95,188.82,191.56,68741000
2024-01-22,AAPL,192.30,195.33,192.26,193.89,60133900
2024-01-23,AAPL,195.02,195.75,193.83,195.18,42355600
2024-01-24,AAPL,195.42,196.38,194.34,194.50,53631300
2024-01-25,AAPL,195.22,196.27,193.11,194.17,54822100
2024-01-26,AAPL,194.27,194.76,191.94,192.42,44594000
2024-01-29,AAPL,192.01,192.20,189.58,191.73,47145600
2024-01-30,AAPL,190.94,191.80,187.47,188.04,55859400
2024-01-31,AAPL,187.04,187.10,184.35,184.40,55467800
2024-02-01,AAPL,183.99,186.95,183.82,186.86,64885400
2024-02-02,AAPL,179.86,187.33,179.25,185.85,102518000
2024-02-05,AAPL,188.15,189.25,185.84,187.68,69668800
2024-02-06,AAPL,186.86,189.31,186.77,189.30,43490800
2024-02-07,AAPL,190.64,191.05,188.61,189.41,53439000
2024-02-08,AAPL,189.39,189.54,187.35,188.32,40962000
2024-02-09,AAPL,188.65,189.99,188.00,188.85,45155200
2024-02-12,AAPL,188.42,188.67,186.79,187.15,41781900
2024-02-13,AAPL,185.77,186.21,183.51,185.04,56529500

